1A
1B
2B
3B
3C
12B
13B
14B
16B
20B
21B
24B
25B
25C
26C
27C
27D
28D
28C
34B
34C
35C
36C
37C
37D
36D
35D
39D
41C
41D
40D
40A
55D1
45C
55C
44C
43C
43D
55D2
55A
8A
4A
